company,Employeer_employee,parameters,IMP_parameters,cd,cds,attitude,weorke,motivationg,waysmotivation,stressw,stressj,communication,communicate_with_hr,conflict,conflicts,wc,wcs,we,s
Accenture,Employee,Perception;Motivation;Stress Management;Communication;Work Culture,Stress Management because working under stress is difficult as it is.,4,Helps,4,No,Yes,Understanding the background of employee,5,5,once or twice,4,No,Mediatte them,7,NA,7,NA
Deloitte,Employee,Demographic and Cultural Diversity;Stress Management;Communication;Team work and conflict resolution,Communication,4,Yes. It is very important,4,Yes,Yes,Increase Perks;Praising for good work,7,5,once or twice,4,Yes,Talking it out,8,More open-minded individuals,7,
Infosys,Employee,Demographic and Cultural Diversity;Stress Management;Communication,Communication,3,-,4,Yes,Yes,Understanding the background of employee;Telling mistakes in privacy,7,7,They know most of the thing about mw.,4,Yes,Talk it out.,9,Better communication throughout the company,9,
Wipro,Employee,Perception;Motivation;Stress Management;Team work and conflict resolution,Diversity as you can understand the product at a much greater depth having different views,3,"Yes, more cultural diversity will bring a better viewed product",4,Yes,Yes,,8,8,They know me some what,3,Yes,Choose which is more important,8,Increased wages.,8,
Accenture,Employee,Motivation;Communication;Team work and conflict resolution,"Perception, as if u have positive perception, you can do anything easily",4,Not much,3,Yes,Yes,,9,4,They know me some what,4,Yes,Choose collective good,6,Better attitude towards work by employees,8,
Deloitte,Employee,Demographic and Cultural Diversity;Stress Management;Communication,"Motivation, as good motivation can bring goal more near to the employees",4,"Yes, it is very important for the organization",3,Yes,Yes,,6,8,They know me some what,5,No,Its chaos.,9,Nothing much,6,
Infosys,Employee,Demographic and Cultural Diversity;Perception;Stress Management,Stress Management. It is the most important as lesser stress means a more healthy workforce,4,Yes,3,Maybe,,,7,9,Rare,3,Yes,Choose which is affects the company overall more,8,Introduction of recreational events if possible.,8,
Cognizant,Employee,Stress Management;Communication;Team work and conflict resolution;Work Culture,"Team work. Without teamwork, nothing is achievable",4,Employee can develop a broader scope for the service/ product having a good cultural diversity in the organization,4,No,Yes,,4,5,once or twice,4,Yes,-,8,-,7,-
Accenture,Employee,Demographic and Cultural Diversity;Perception;Stress Management;Communication;Team work and conflict resolution,"Diversity. More diverse people, more tolerant will be the product.",4,Yeah. A product should not hurt the believes of any end user,4,Yes,Yes,Understanding the background of employee,5,9,once or twice,4,Yes,Talk it out,7,Nothing as such.,9,
Cognizant,Employee,Demographic and Cultural Diversity;Perception;Stress Management;Team work and conflict resolution,Conflict Resolution. Lesser conflicts means more coherent the work force.,1,You need different types of people so that the product can be used by a wide range of people,4,Maybe,Yes,Understanding the background of employee,8,9,Rare,4,Maybe,Which is better is chosen,10,Nothing,9,
Deloitte,Employee,Demographic and Cultural Diversity;Motivation;Stress Management;Work Culture,Stress Management. More stress can lead to unhealthy health conditions and can damage themself as well as the organization.,2,Not much,4,Yes,No,Increase Perks;Understanding the background of employee,7,7,once or twice,3,Maybe,Don't know much about it,8,Better gender balance.,10,
Accenture,Employee,Demographic and Cultural Diversity;Motivation;Stress Management;Communication;Team work and conflict resolution,"Motivation. Without motivation, no one will work.",4,"Yes, it is important",3,Maybe,Yes,Increase Perks;Praising for good work;Understanding the background of employee,6,7,They know me some what,4,Yes,Negotiations.,8,More friendly environment to work.,9,
Deloitte,Employee,Perception;Motivation;Stress Management;Work Culture,Stress Management,4,It helps to keep the force coherent.,2,Yes,Yes,Praising for good work,8,8,They know me some what,5,Yes,Priority based resolution.,10,No changes required,7,
